"Kod";"Nazwa";"saldo migracji na 1000 osób;ogółem;2016;[osoba]";"saldo migracji na 1000 osób;ogółem;2017;[osoba]";"saldo migracji na 1000 osób;ogółem;2018;[osoba]";"saldo migracji na 1000 osób;ogółem;2019;[osoba]";
1425112;"Wierzbica (2)";-4,7;-4,5;-5,5;-3,9;
1425122;"Wolanów (2)";1,0;-2,2;-2,5;1,5;
1425132;"Zakrzew (2)";2,5;2,5;6,2;8,8;
1426012;"Domanice (2)";-3,8;-6,1;-6,1;-5,7;
1426022;"Korczew (2)";-8,8;-6,0;-1,5;-4,2;
1426032;"Kotuń (2)";0,1;-1,9;-2,8;0,1;
1426042;"Mokobody (2)";-7,5;-0,6;-2,4;-8,2;
1426053;"Mordy (3)";-4,8;-2,7;-3,1;-10,1;
1426062;"Paprotnia (2)";-10,4;-7,3;-3,9;-1,9;
1426072;"Przesmyki (2)";-8,1;-12,3;-8,1;-5,4;
1426082;"Siedlce (2)";7,5;4,8;6,6;3,8;
1426092;"Skórzec (2)";1,9;2,6;2,9;2,4;
1426102;"Suchożebry (2)";3,6;-2,8;-4,1;7,0;
1426112;"Wiśniew (2)";-5,9;-1,6;-4,2;-0,3;
1426122;"Wodynie (2)";-6,5;1,1;-5,2;0,5;
1426132;"Zbuczyn (2)";0,3;-3,0;-3,8;-1,8;
1427011;"Sierpc (1)";-3,9;-2,1;-1,8;-3,9;
1427022;"Gozdowo (2)";-1,0;-2,3;-0,8;-0,7;
1427032;"Mochowo (2)";-4,6;-4,6;-6,9;-6,5;
1427042;"Rościszewo (2)";-4,8;-8,8;-6,7;-3,6;
1427052;"Sierpc (2)";-3,0;-1,3;-7,6;-1,3;
1427062;"Szczutowo (2)";-0,5;-5,8;5,5;-7,2;
1427072;"Zawidz (2)";-7,6;-9,6;-7,5;-5,8;
1428011;"Sochaczew (1)";-3,8;-4,3;-7,1;-4,7;
1428022;"Brochów (2)";2,6;2,8;3,9;5,3;
1428032;"Iłów (2)";-4,2;-5,5;-1,1;-2,4;
1428042;"Młodzieszyn (2)";0,9;3,8;-0,2;6,7;
1428052;"Nowa Sucha (2)";2,8;4,7;6,3;6,3;
1428062;"Rybno (2)";0,3;-1,1;0,3;-0,6;
1428072;"Sochaczew (2)";9,4;9,6;14,0;7,8;
1428082;"Teresin (2)";0,7;2,4;3,0;3,1;
1429011;"Sokołów Podlaski (1)";1,5;0,9;-0,7;-0,2;
1429022;"Bielany (2)";-4,1;-4,6;-6,3;-7,7;
1429032;"Ceranów (2)";-8,4;-3,5;-4,0;-12,7;
1429042;"Jabłonna Lacka (2)";-9,1;-2,8;-10,5;-4,5;
1429053;"Kosów Lacki (3)";-6,6;-8,5;-10,6;-3,9;
1429062;"Repki (2)";-5,2;-3,0;-8,3;-15,3;
1429072;"Sabnie (2)";-1,6;-10,7;-4,6;-9,5;
1429082;"Sokołów Podlaski (2)";-0,2;-3,8;-0,5;0,2;
1429092;"Sterdyń (2)";-11,3;-4,7;-7,5;-8,4;
1430012;"Chlewiska (2)";-3,8;-1,0;0,0;-0,8;
1430022;"Jastrząb (2)";-1,7;1,7;-6,3;-1,0;
1430032;"Mirów (2)";2,6;-3,9;-1,0;-3,1;
1430042;"Orońsko (2)";-1,7;-1,2;0,0;1,8;
1430053;"Szydłowiec (3)";-4,7;-4,1;-3,7;-5,3;
1432013;"Błonie (3)";7,0;9,4;3,6;2,1;
1432022;"Izabelin (2)";8,2;6,1;4,6;4,5;
1432032;"Kampinos (2)";3,3;6,3;5,7;0,0;
1432042;"Leszno (2)";1,8;4,6;12,1;6,4;
1432053;"Łomianki (3)";14,0;12,1;15,6;17,0;
1432063;"Ożarów Mazowiecki (3)";15,5;17,1;21,9;25,8;
1432072;"Stare Babice (2)";11,6;17,2;12,5;21,2;
1433011;"Węgrów (1)";-3,1;-0,9;-7,2;-5,2;
1433022;"Grębków (2)";0,4;-2,2;-3,6;-3,4;
1433032;"Korytnica (2)";-3,0;-14,3;-4,2;-3,9;
1433042;"Liw (2)";-3,1;-3,3;-5,8;-4,2;
1433053;"Łochów (3)";-1,8;-1,3;-2,2;0,8;
1433062;"Miedzna (2)";-1,5;-5,4;-3,6;-6,2;
1433072;"Sadowne (2)";-1,5;-1,5;-2,6;-5,1;
1433082;"Stoczek (2)";-4,7;-5,4;-2,4;-7,0;
1433092;"Wierzbno (2)";-9,0;-7,1;-10,1;-4,0;
1434011;"Kobyłka (1)";18,1;20,6;17,5;23,4;
1434021;"Marki (1)";28,0;23,4;26,7;37,0;
1434031;"Ząbki (1)";15,4;18,6;17,5;18,9;
1434041;"Zielonka (1)";1,7;2,9;5,3;0,3;
1434052;"Dąbrówka (2)";7,9;4,0;3,3;4,9;
1434062;"Jadów (2)";-1,4;-0,3;0,5;-4,9;
1434072;"Klembów (2)";10,6;8,5;3,7;8,8;
1434082;"Poświętne (2)";2,3;2,7;1,9;0,2;
1434093;"Radzymin (3)";13,4;10,2;14,1;15,2;
1434102;"Strachówka (2)";-4,3;1,1;-2,9;-1,1;
1434113;"Tłuszcz (3)";1,4;3,0;-0,5;0,6;
1434123;"Wołomin (3)";-1,8;-0,4;-1,0;0,3;
1435012;"Brańszczyk (2)";-3,1;1,8;0,0;-0,2;
1435022;"Długosiodło (2)";-1,1;-1,5;-3,7;-5,5;
1435032;"Rząśnik (2)";-0,9;0,9;0,0;-2,4;
1435042;"Somianka (2)";-0,4;1,1;1,3;0,7;
1435053;"Wyszków (3)";-0,9;-1,3;-2,5;2,0;
1435062;"Zabrodzie (2)";0,7;1,0;9,3;-0,5;
1436012;"Kazanów (2)";-2,6;-2,0;-1,3;-4,4;
1436022;"Policzna (2)";-1,4;-1,8;-6,3;-4,0;
1436032;"Przyłęk (2)";-3,0;-1,6;-6,1;-3,9;
1436042;"Tczów (2)";2,7;0,0;-2,0;-2,2;
1436053;"Zwoleń (3)";0,0;-3,1;-2,1;-2,9;
1437013;"Bieżuń (3)";-2,5;-6,0;-8,1;-6,8;
1437022;"Kuczbork-Osada (2)";-6,4;-5,8;-3,8;-10,4;
1437033;"Lubowidz (3)";;;;-3,6;
1437042;"Lutocin (2)";-6,4;-3,4;-8,1;-7,0;
1437052;"Siemiątkowo (2)";-8,4;-9,3;-2,6;-7,5;
1437063;"Żuromin (3)";-4,0;-3,5;-4,8;-6,9;
1438011;"Żyrardów (1)";-4,4;-2,5;-2,9;-2,1;
1438023;"Mszczonów (3)";1,3;0,6;-2,7;-2,3;
1438032;"Puszcza Mariańska (2)";5,2;6,9;4,2;8,0;
1438042;"Radziejowice (2)";14,7;19,4;16,7;9,6;
1438052;"Wiskitki (2)";2,3;-0,2;2,5;4,5;
1461011;"Ostrołęka (1)";-6,5;-4,5;-4,6;-6,7;
1462011;"Płock (1)";-2,9;-2,9;-3,3;-3,4;
1463011;"Radom (1)";-3,3;-3,4;-4,9;-5,7;
1464011;"Siedlce (1)";-0,4;0,8;-0,7;-1,1;
1465011;"M.st.Warszawa od 2002 (1)";4,4;4,5;6,2;5,7;
1601011;"Brzeg (1)";-2,0;-1,4;-4,2;-3,5;
1601022;"Skarbimierz (2)";9,4;8,5;12,7;13,7;
1601033;"Grodków (3)";-1,5;-1,2;-1,7;-3,4;
1601043;"Lewin Brzeski (3)";-3,0;-3,1;-3,8;-3,9;
1601052;"Lubsza (2)";-1,0;-2,8;5,9;2,4;
1601062;"Olszanka (2)";-2,4;-2,6;-3,4;-5,5;
1602013;"Baborów (3)";-3,1;-6,9;-4,3;-7,0;
1602022;"Branice (2)";-5,1;4,9;3,4;-0,8;
1602033;"Głubczyce (3)";-2,7;-4,3;-4,0;0,0;
1602043;"Kietrz (3)";-7,8;-3,5;-4,4;-4,5;
1603011;"Kędzierzyn-Koźle (1)";-4,2;-3,5;-5,4;-4,9;
1603022;"Bierawa (2)";2,7;4,3;2,5;-1,9;
1603032;"Cisek (2)";-5,9;-1,8;-3,9;1,1;
1603042;"Pawłowiczki (2)";-2,9;-2,2;-5,2;-8,4;
1603052;"Polska Cerekiew (2)";-2,4;-2,4;-4,9;-1,0;
1603062;"Reńska Wieś (2)";3,2;1,3;7,5;3,8;
1604013;"Byczyna (3)";-4,4;-5,5;-7,1;-11,7;
1604023;"Kluczbork (3)";-2,1;-1,4;-1,1;-0,8;
1604032;"Lasowice Wielkie (2)";-0,1;1,6;-5,2;1,3;
1604043;"Wołczyn (3)";-5,2;-1,0;-4,9;-7,7;
1605013;"Gogolin (3)";-0,3;4,8;1,8;3,4;
1605023;"Krapkowice (3)";-3,7;-4,4;-4,7;-5,1;
1605032;"Strzeleczki (2)";2,0;0,3;2,0;-4,6;
1605042;"Walce (2)";-2,9;-5,1;-0,7;-1,3;
1605053;"Zdzieszowice (3)";-6,1;-1,2;-4,5;-2,2;
1606012;"Domaszowice (2)";-2,7;-3,0;1,1;-5,3;
1606023;"Namysłów (3)";3,1;3,1;4,9;3,9;
1606032;"Pokój (2)";0,2;0,6;-3,2;-6,3;
1606042;"Świerczów (2)";-4,1;-4,1;-5,1;-9,3;
1606052;"Wilków (2)";-5,1;-10,8;-6,3;-6,1;
1607013;"Głuchołazy (3)";-2,6;-3,9;-0,5;-1,7;
1607022;"Kamiennik (2)";-5,1;-0,3;-6,9;-7,5;
1607033;"Korfantów (3)";-7,9;-4,5;-4,6;-9,2;
1607042;"Łambinowice (2)";-3,4;-6,3;-3,2;-6,7;
1607053;"Nysa (3)";-0,3;-0,8;-0,1;-0,8;
1607063;"Otmuchów (3)";-4,2;-4,2;-3,1;-2,1;
1607073;"Paczków (3)";-5,2;-2,2;-4,6;-4,9;
1607082;"Pakosławice (2)";-2,8;-7,0;-5,4;1,1;
1607092;"Skoroszyce (2)";-5,9;-0,2;-1,1;-2,9;
1608013;"Dobrodzień (3)";0,9;-3,9;-3,0;-0,1;
1608023;"Gorzów Śląski (3)";-2,8;0,3;-2,8;-1,7;
1608033;"Olesno (3)";0,3;0,4;0,2;-1,5;
1608043;"Praszka (3)";-6,5;-6,4;-2,6;-5,8;
1608052;"Radłów (2)";-5,2;-6,4;-2,5;-7,2;
1608062;"Rudniki (2)";2,8;-2,5;-0,8;-2,7;
1608072;"Zębowice (2)";-4,3;0,5;-5,4;-7,1;
1609012;"Chrząstowice (2)";8,2;9,8;0,4;3,2;
1609022;"Dąbrowa (2)";-0,9;4,4;-0,1;4,9;
1609032;"Dobrzeń Wielki (2)";0,3;-2,7;-0,6;4,3;
1609042;"Komprachcice (2)";4,0;-0,2;0,1;5,6;
1609052;"Łubniany (2)";4,3;4,1;1,6;11,2;
1609062;"Murów (2)";-3,3;-5,9;-1,9;-6,4;
1609073;"Niemodlin (3)";-1,5;-1,0;-3,4;-4,1;
1609083;"Ozimek (3)";0,5;-3,6;0,1;0,1;
1609092;"Popielów (2)";-0,1;-0,1;-3,8;-1,4;
1609103;"Prószków (3)";-0,1;2,3;-0,6;0,1;
1609112;"Tarnów Opolski (2)";2,6;3,7;0,5;-0,6;
1609123;"Tułowice (3)";;;-3,3;-0,8;
1609132;"Turawa (2)";2,2;6,3;6,0;6,6;
1610013;"Biała (3)";-0,7;2,3;-2,4;-2,6;
1610023;"Głogówek (3)";-1,7;-2,6;-1,4;-4,8;
1610032;"Lubrza (2)";2,1;3,2;-4,8;-1,4;
1610043;"Prudnik (3)";-0,5;-0,8;-1,6;-2,2;
1611012;"Izbicko (2)";3,3;-1,3;-0,9;4,4;
1611022;"Jemielnica (2)";2,6;-2,2;1,4;1,1;
1611033;"Kolonowskie (3)";-4,7;-1,5;4,7;-1,9;
1611043;"Leśnica (3)";-2,2;-4,1;-11,0;-4,1;
1611053;"Strzelce Opolskie (3)";-2,6;-4,0;-2,4;-4,4;
1611063;"Ujazd (3)";2,4;1,7;0,2;1,9;
1611073;"Zawadzkie (3)";-6,6;-6,7;-6,7;-6,1;
1661011;"Opole (1)";0,7;0,6;2,1;1,5;
1801032;"Czarna (2)";-0,8;-2,9;-4,1;-4,2;
1801052;"Lutowiska (2)";-14,9;-10,6;2,9;-6,2;
1801083;"Ustrzyki Dolne (3)";-4,2;-4,7;-4,1;-4,7;
1802013;"Brzozów (3)";-2,8;-2,6;-3,3;-2,9;
1802022;"Domaradz (2)";1,2;-2,6;-3,1;-5,7;
1802032;"Dydnia (2)";-6,8;-3,2;-6,0;-5,3;
1802042;"Haczów (2)";-6,1;-5,9;-5,6;-0,2;
1802052;"Jasienica Rosielna (2)";-1,9;-0,3;-2,7;-2,9;
1802062;"Nozdrzec (2)";-5,6;-5,4;-8,2;-8,0;
1803011;"Dębica (1)";-5,0;-6,3;-6,9;-8,7;
1803023;"Brzostek (3)";-1,0;-4,7;-4,4;-4,6;
1803032;"Czarna (2)";0,9;2,8;0,8;-0,5;
1803042;"Dębica (2)";0,2;1,9;-1,3;0,4;
1803052;"Jodłowa (2)";-0,9;-4,1;-4,1;-5,6;
1803063;"Pilzno (3)";1,1;2,2;1,3;-0,5;
1803072;"Żyraków (2)";-0,3;3,0;3,2;2,3;
1804011;"Jarosław (1)";-4,6;-3,1;-3,1;-4,9;
1804021;"Radymno (1)";-7,5;-7,7;-7,3;-5,5;
1804032;"Chłopice (2)";0,0;-3,9;-0,7;-7,6;
1804042;"Jarosław (2)";-1,8;-1,2;-2,0;-0,1;
1804052;"Laszki (2)";-5,7;-3,3;-1,7;-4,2;
1804062;"Pawłosiów (2)";-2,7;5,8;-3,1;-1,5;
1804073;"Pruchnik (3)";-1,6;-5,1;-0,5;-6,1;
1804082;"Radymno (2)";2,4;-2,3;1,1;-4,0;
1804092;"Rokietnica (2)";-3,2;-0,9;-3,6;-2,5;
1804102;"Roźwienica (2)";2,7;-1,3;-6,4;-5,3;
1804112;"Wiązownica (2)";1,0;-1,9;-4,4;-0,2;
1805011;"Jasło (1)";-6,1;-4,5;-6,5;-7,2;
1805022;"Brzyska (2)";1,4;1,2;-1,5;-3,8;
1805032;"Dębowiec (2)";6,8;4,2;5,2;1,8;
1805042;"Jasło (2)";0,4;-1,3;-0,1;-0,4;
1805053;"Kołaczyce (3)";0,3;-3,5;-0,2;-0,8;
1805062;"Krempna (2)";-5,7;-11,2;-9,6;-10,1;
1805072;"Nowy Żmigród (2)";-2,0;-5,8;-5,4;-8,2;
1805082;"Osiek Jasielski (2)";-5,6;-6,4;-0,6;-1,1;
1805092;"Skołyszyn (2)";-1,1;0,6;-2,7;-3,0;
1805112;"Tarnowiec (2)";-5,4;-5,4;2,0;1,6;
1806012;"Cmolas (2)";-0,6;1,6;0,0;-0,6;
1806023;"Kolbuszowa (3)";-3,2;-1,7;-2,8;-4,0;
1806032;"Majdan Królewski (2)";0,0;-0,8;-0,4;-3,9;
1806042;"Niwiska (2)";2,8;-2,6;1,2;4,6;
1806052;"Raniżów (2)";-2,8;-2,5;-0,4;-7,5;
1806062;"Dzikowiec (2)";2,2;-3,8;-0,6;0,9;
1807012;"Chorkówka (2)";1,3;-1,6;-1,3;0,7;
1807023;"Dukla (3)";-1,8;-3,6;-2,6;-5,4;
1807033;"Iwonicz-Zdrój (3)";-2,7;-2,3;-2,9;-4,0;
1807043;"Jedlicze (3)";0,0;-0,9;-1,9;-1,6;
1807052;"Korczyna (2)";1,3;-0,2;0,5;-2,6;
1807062;"Krościenko Wyżne (2)";-3,0;3,2;1,4;-3,5;
1807072;"Miejsce Piastowe (2)";2,9;-1,1;-0,3;-2,2;
1807083;"Rymanów (3)";0,4;-0,3;-0,9;-0,3;
1807092;"Wojaszówka (2)";1,0;3,3;-0,1;0,9;
1807102;"Jaśliska (2)";-2,9;-4,0;-5,8;-7,2;
1808011;"Leżajsk (1)";-7,0;-3,1;-8,8;-5,3;
1808022;"Grodzisko Dolne (2)";-1,6;-5,5;-2,2;-3,4;
1808032;"Kuryłówka (2)";-0,4;-3,2;3,7;-2,4;
1808042;"Leżajsk (2)";0,5;-1,5;-0,9;-3,0;
1808053;"Nowa Sarzyna (3)";-3,0;-3,0;-1,8;-3,6;
1809011;"Lubaczów (1)";-5,7;-5,5;-5,7;-10,2;
1809023;"Cieszanów (3)";-3,5;-6,8;-12,0;-8,2;
1809032;"Horyniec-Zdrój (2)";-6,0;-0,4;-8,6;-7,0;
1809042;"Lubaczów (2)";0,1;2,6;-2,5;0,1;
1809053;"Narol (3)";-0,1;-4,6;-3,3;0,0;
1809063;"Oleszyce (3)";-2,5;-4,2;-6,4;-3,6;
1809072;"Stary Dzików (2)";-7,9;-2,8;-6,4;-11,7;
1809082;"Wielkie Oczy (2)";-0,3;-3,6;-1,0;-6,0;
1810011;"Łańcut (1)";-4,1;-0,7;-2,3;-3,4;
1810022;"Białobrzegi (2)";0,0;3,8;1,0;-1,4;
1810032;"Czarna (2)";2,2;1,1;1,4;2,0;
1810042;"Łańcut (2)";2,0;1,1;-0,8;2,2;
1810052;"Markowa (2)";0,6;-7,8;-6,0;-3,2;
1810062;"Rakszawa (2)";2,5;1,9;-1,5;2,2;
1810072;"Żołynia (2)";0,0;2,4;-1,0;0,9;
1811011;"Mielec (1)";-2,9;-3,3;-3,6;-3,9;
1811022;"Borowa (2)";-5,7;-3,6;2,2;-1,6;
1811032;"Czermin (2)";-1,7;1,7;-0,9;-3,4;
1811042;"Gawłuszowice (2)";-2,9;2,5;-2,2;-12,4;
1811052;"Mielec (2)";2,4;2,3;3,5;4,6;
1811062;"Padew Narodowa (2)";-2,4;2,1;0,0;-0,2;
1811073;"Przecław (3)";1,9;1,3;3,3;0,6;
1811083;"Radomyśl Wielki (3)";-2,0;-2,5;-1,3;1,5;
1811092;"Tuszów Narodowy (2)";3,6;3,1;5,7;0,5;
1811102;"Wadowice Górne (2)";4,7;1,3;-0,4;-3,6;
1812012;"Harasiuki (2)";1,5;0,6;-2,0;-3,9;
1812022;"Jarocin (2)";-3,9;-2,4;1,7;-1,9;
1812032;"Jeżowe (2)";-3,8;-2,1;-3,8;-3,2;
1812042;"Krzeszów (2)";-0,7;-0,2;1,4;-3,7;
1812053;"Nisko (3)";-1,5;-1,0;-2,1;-3,8;
1812063;"Rudnik nad Sanem (3)";-1,3;-2,3;1,0;-0,6;
1812073;"Ulanów (3)";-4,9;-3,8;-2,9;-1,9;
1813012;"Bircza (2)";-6,2;-6,8;-9,7;-3,8;
1813022;"Dubiecko (2)";-2,9;-3,3;-0,5;-8,4;
1813032;"Fredropol (2)";-1,6;-2,0;-4,0;-7,8;
1813042;"Krasiczyn (2)";-0,2;4,7;9,9;-1,2;
1813052;"Krzywcza (2)";-2,3;-5,3;-8,8;-5,4;
1813062;"Medyka (2)";1,2;-1,7;-3,7;-0,6;
1813072;"Orły (2)";-0,9;-4,2;-2,4;0,5;
1813082;"Przemyśl (2)";6,8;1,5;4,0;-1,2;
1813092;"Stubno (2)";-3,8;-7,9;-4,3;-3,6;
1813102;"Żurawica (2)";-2,9;2,2;1,0;-0,6;
1814011;"Przeworsk (1)";-6,7;-6,0;-9,1;-4,1;
1814022;"Adamówka (2)";-1,2;-2,9;1,0;-6,6;
1814032;"Gać (2)";-1,5;-4,1;-1,3;1,1;
1814042;"Jawornik Polski (2)";-0,2;-3,8;-2,9;-0,5;
1814053;"Kańczuga (3)";-2,9;-2,3;-3,5;-2,7;
1814062;"Przeworsk (2)";-2,1;-0,1;0,5;-2,8;
1814073;"Sieniawa (3)";-0,7;-6,3;-4,1;-0,9;
1814082;"Tryńcza (2)";2,6;1,8;-2,7;0,6;
1814092;"Zarzecze (2)";2,4;-3,5;-1,9;-1,7;
1815012;"Iwierzyce (2)";-2,5;0,5;-0,3;-2,7;
1815022;"Ostrów (2)";-1,4;3,0;6,5;-0,1;
1815033;"Ropczyce (3)";0,8;-0,1;-0,4;-1,6;
1815043;"Sędziszów Małopolski (3)";-1,5;-0,1;-0,3;3,7;
1815052;"Wielopole Skrzyńskie (2)";0,0;-8,9;-4,5;-9,2;
1816011;"Dynów (1)";-3,6;-6,7;-2,8;0,0;
1816023;"Błażowa (3)";1,7;0,3;-0,9;0,4;
1816033;"Boguchwała (3)";6,7;9,2;5,8;7,5;
1816042;"Chmielnik (2)";3,4;8,3;3,2;0,6;
1816052;"Dynów (2)";-7,3;-3,2;1,0;-5,8;
1816063;"Głogów Małopolski (3)";3,4;7,7;9,3;6,3;
1816072;"Hyżne (2)";-0,6;-0,7;-2,0;-0,3;
1816082;"Kamień (2)";0,0;-1,9;-1,2;-1,0;
1816092;"Krasne (2)";8,9;11,9;15,0;17,3;
1816102;"Lubenia (2)";-1,7;3,1;-1,9;-2,3;
1816113;"Sokołów Małopolski (3)";-2,2;1,1;0,1;0,8;
1816122;"Świlcza (2)";5,8;4,2;1,6;9,9;
1816132;"Trzebownisko (2)";4,9;10,2;10,3;13,8;
1816143;"Tyczyn (3)";11,3;12,7;2,3;9,6;
1817011;"Sanok (1)";-4,5;-5,1;-6,2;-7,5;
1817022;"Besko (2)";0,7;-1,1;-4,4;0,0;
1817032;"Bukowsko (2)";-2,2;-2,5;-8,6;-3,8;
1817042;"Komańcza (2)";-6,9;-7,3;-6,9;-14,3;
1817052;"Sanok (2)";2,7;-0,4;2,8;4,7;
1817062;"Tyrawa Wołoska (2)";4,6;-3,5;7,1;-8,1;
1817073;"Zagórz (3)";-1,5;-1,1;0,8;-4,0;
1817082;"Zarszyn (2)";-2,9;0,6;-3,0;-3,9;
1818011;"Stalowa Wola (1)";-8,2;-8,4;-11,3;-10,4;
1818022;"Bojanów (2)";3,5;4,7;-2,0;6,4;
1818032;"Pysznica (2)";16,3;12,2;13,1;11,1;
1818042;"Radomyśl nad Sanem (2)";-1,1;-0,8;2,1;0,3;
1818053;"Zaklików (3)";-2,9;1,2;0,8;-0,5;
1818062;"Zaleszany (2)";2,5;4,5;3,7;1,8;
1819012;"Czudec (2)";0,9;-1,2;-2,2;-2,0;
1819022;"Frysztak (2)";-0,5;-3,2;-3,2;-2,5;
1819032;"Niebylec (2)";-2,7;-0,7;-1,1;-1,0;
1819043;"Strzyżów (3)";0,9;1,2;-2,0;-2,6;
1819052;"Wiśniowa (2)";-5,5;-9,4;-8,6;-6,6;
1820013;"Baranów Sandomierski (3)";-0,8;-2,1;-5,5;-2,6;
1820022;"Gorzyce (2)";-5,9;-5,6;-6,0;-7,8;
1820032;"Grębów (2)";1,0;1,8;3,0;2,6;
1820043;"Nowa Dęba (3)";-3,3;-3,3;-4,5;-3,8;
1821012;"Baligród (2)";0,6;-7,2;7,9;-1,3;
1821022;"Cisna (2)";2,8;5,1;6,3;-1,1;
1821033;"Lesko (3)";-2,2;-4,8;-3,8;0,0;
1821042;"Olszanica (2)";-4,2;-4,6;-8,3;-5,1;
1821052;"Solina (2)";0,6;2,6;3,0;-6,9;
1861011;"Krosno (1)";-2,5;-2,8;-3,2;-1,6;
1862011;"Przemyśl (1)";-4,3;-4,2;-6,8;-7,1;
1863011;"Rzeszów (1)";6,4;5,4;6,7;7,5;
1864011;"Tarnobrzeg (1)";-4,2;-2,4;-5,9;-4,2;
2001011;"Augustów (1)";-1,2;-2,3;-1,2;-2,2;
2001022;"Augustów (2)";-2,9;-3,2;-2,1;-3,1;
2001032;"Bargłów Kościelny (2)";-6,3;-5,1;-7,3;-8,5;
2001043;"Lipsk (3)";-4,1;-8,9;-7,7;-9,9;
2001052;"Nowinka (2)";0,7;-3,1;-3,4;11,7;
2001062;"Płaska (2)";-1,1;0,0;1,5;-5,4;
2001072;"Sztabin (2)";-1,7;-4,5;-7,6;-3,0;
2002013;"Choroszcz (3)";10,6;9,1;11,8;21,6;
2002023;"Czarna Białostocka (3)";-2,4;-1,8;-1,3;-5,0;
2002032;"Dobrzyniewo Duże (2)";14,6;13,2;18,1;9,3;
2002042;"Gródek (2)";-5,0;1,5;-3,2;-0,4;
2002052;"Juchnowiec Kościelny (2)";11,1;9,9;14,0;11,2;
2002063;"Łapy (3)";-1,8;-4,0;-2,6;-4,0;
2002073;"Michałowo (3)";-0,4;-1,5;1,7;2,7;
2002082;"Poświętne (2)";-9,1;-7,2;-12,8;-10,6;
2002093;"Supraśl (3)";17,9;11,7;16,4;21,9;
2002103;"Suraż (3)";-5,0;2,0;-6,1;7,7;
2002112;"Turośń Kościelna (2)";12,0;13,3;8,2;18,5;
2002123;"Tykocin (3)";-2,8;1,6;-3,7;-5,8;
2002133;"Wasilków (3)";19,6;20,1;26,9;29,7;
2002143;"Zabłudów (3)";6,8;4,9;7,9;10,0;
2002152;"Zawady (2)";-0,7;-11,9;-2,2;-7,4;
2003011;"Bielsk Podlaski (1)";-9,4;-7,4;-7,5;-5,9;
2003021;"Brańsk (1)";-1,1;-3,7;0,8;2,1;
2003032;"Bielsk Podlaski (2)";10,7;0,0;5,5;7,5;
2003042;"Boćki (2)";-5,1;-0,9;-1,2;-5,6;
2003052;"Brańsk (2)";-6,6;-10,4;-8,5;-7,2;
2003062;"Orla (2)";-3,9;6,1;2,2;-1,1;
2003072;"Rudka (2)";-2,1;-11,5;-9,1;-10,7;
2003082;"Wyszki (2)";-4,2;-6,0;-2,0;-8,0;
2004011;"Grajewo (1)";-3,8;-5,3;-4,8;-2,8;
2004022;"Grajewo (2)";-8,4;-4,9;-2,6;-9,5;
2004032;"Radziłów (2)";-8,7;-5,4;-4,8;-3,8;
2004043;"Rajgród (3)";-3,6;-11,7;-6,1;-11,1;
2004053;"Szczuczyn (3)";-6,3;-2,3;-6,4;-10,9;
2004062;"Wąsosz (2)";-10,4;-12,9;-12,6;-7,5;
2005011;"Hajnówka (1)";-3,5;-6,2;-5,6;-4,5;
2005022;"Białowieża (2)";-1,3;37,9;5,4;-5,5;
2005032;"Czeremcha (2)";-5,5;-4,9;-5,0;-7,7;
2005042;"Czyże (2)";1,0;2,0;6,0;0,0;
2005052;"Dubicze Cerkiewne (2)";3,2;9,7;5,8;-1,3;
2005062;"Hajnówka (2)";8,7;9,4;1,0;-4,4;
2005073;"Kleszczele (3)";6,9;-8,1;-8,7;-0,4;
2005082;"Narew (2)";1,4;5,9;-0,8;-3,5;
2005092;"Narewka (2)";-4,8;-3,8;0,3;-8,0;
2006011;"Kolno (1)";-6,3;-5,8;-7,6;-4,2;
2006022;"Grabowo (2)";-8,4;-12,2;-16,8;-5,5;
2006032;"Kolno (2)";-6,9;-8,1;-2,4;-7,1;
2006042;"Mały Płock (2)";-2,5;-6,8;-12,7;-6,1;
2006053;"Stawiski (3)";-8,1;-4,2;-11,4;-6,9;
2006062;"Turośl (2)";1,0;-6,6;-4,5;-0,4;
2007013;"Jedwabne (3)";-8,0;-3,9;-5,1;-7,5;
2007022;"Łomża (2)";4,3;3,9;10,6;8,7;
2007032;"Miastkowo (2)";-4,4;-5,1;-7,5;-0,7;
2007043;"Nowogród (3)";-3,7;2,5;-6,7;4,7;
2007052;"Piątnica (2)";-1,6;-1,9;0,5;-1,9;
2007062;"Przytuły (2)";-4,2;-11,1;-8,9;-13,9;
2007072;"Śniadowo (2)";-2,9;-10,2;-2,2;-2,1;
2007082;"Wizna (2)";-7,7;-1,2;-12,3;-4,5;
2007092;"Zbójna (2)";0,9;-8,3;0,2;-1,4;
2008013;"Goniądz (3)";-5,3;-2,8;-0,8;-4,7;
2008022;"Jasionówka (2)";-5,3;-1,1;-10,0;-3,6;
2008032;"Jaświły (2)";-9,1;-6,2;-9,4;-8,3;
2008043;"Knyszyn (3)";-6,3;-10,0;-1,7;-1,0;
2008052;"Krypno (2)";1,5;-6,4;-3,5;-5,5;
2008063;"Mońki (3)";-3,5;-4,7;-3,2;-3,5;
2008072;"Trzcianne (2)";-0,9;-5,0;-5,8;-4,4;
2009011;"Sejny (1)";-6,8;-8,2;-16,2;-16,3;
2009022;"Giby (2)";-8,2;-2,9;-10,2;-14,0;
2009032;"Krasnopol (2)";-1,0;-1,3;-6,5;0,5;
2009042;"Puńsk (2)";-3,1;-3,1;-3,4;1,9;
