"Kod";"Nazwa";"przeciętna miesięczna liczba rodzin pobierających świadczenie;2018;[-]";
3021113;"Murowana Goślina (3)";1195;
3021123;"Pobiedziska (3)";1435;
3021132;"Rokietnica (2)";1559;
3021143;"Stęszew (3)";1121;
3021152;"Suchy Las (2)";1453;
3021163;"Swarzędz (3)";3827;
3021172;"Tarnowo Podgórne (2)";2196;
3022013;"Bojanowo (3)";615;
3022023;"Jutrosin (3)";598;
3022033;"Miejska Górka (3)";699;
3022042;"Pakosław (2)";422;
3022053;"Rawicz (3)";2103;
3023011;"Słupca (1)";813;
3023022;"Lądek (2)";406;
3023032;"Orchowo (2)";258;
3023042;"Ostrowite (2)";334;
3023052;"Powidz (2)";155;
3023062;"Słupca (2)";650;
3023072;"Strzałkowo (2)";741;
3023083;"Zagórów (3)";644;
3024011;"Obrzycko (1)";184;
3024022;"Duszniki (2)";702;
3024032;"Kaźmierz (2)";656;
3024042;"Obrzycko (2)";319;
3024053;"Ostroróg (3)";328;
3024063;"Pniewy (3)";944;
3024073;"Szamotuły (3)";2120;
3024083;"Wronki (3)";1280;
3025012;"Dominowo (2)";236;
3025022;"Krzykosy (2)";563;
3025032;"Nowe Miasto nad Wartą (2)";708;
3025043;"Środa Wielkopolska (3)";2330;
3025052;"Zaniemyśl (2)";522;
3026012;"Brodnica (2)";382;
3026023;"Dolsk (3)";481;
3026033;"Książ Wielkopolski (3)";695;
3026043;"Śrem (3)";3068;
3027011;"Turek (1)";1504;
3027022;"Brudzew (2)";477;
3027033;"Dobra (3)";437;
3027042;"Kawęczyn (2)";359;
3027052;"Malanów (2)";487;
3027062;"Przykona (2)";349;
3027073;"Tuliszków (3)";804;
3027082;"Turek (2)";756;
3027092;"Władysławów (2)";631;
3028011;"Wągrowiec (1)";1529;
3028022;"Damasławek (2)";430;
3028033;"Gołańcz (3)";661;
3028042;"Mieścisko (2)";449;
3028053;"Skoki (3)";735;
3028062;"Wapno (2)";193;
3028072;"Wągrowiec (2)";982;
3029012;"Przemęt (2)";1227;
3029022;"Siedlec (2)";1008;
3029033;"Wolsztyn (3)";2210;
3030012;"Kołaczkowo (2)";431;
3030023;"Miłosław (3)";691;
3030033;"Nekla (3)";572;
3030043;"Pyzdry (3)";521;
3030053;"Września (3)";3146;
3031011;"Złotów (1)";1140;
3031023;"Jastrowie (3)";765;
3031033;"Krajenka (3)";518;
3031042;"Lipka (2)";381;
3031053;"Okonek (3)";526;
3031062;"Tarnówka (2)";211;
3031072;"Zakrzewo (2)";284;
3031082;"Złotów (2)";675;
3061011;"Kalisz (1)";5442;
3062011;"Konin (1)";3952;
3063011;"Leszno (1)";3800;
3064011;"Poznań (1)";28693;
3201011;"Białogard (1)";1448;
3201022;"Białogard (2)";472;
3201033;"Karlino (3)";618;
3201043;"Tychowo (3)";418;
3202012;"Bierzwnik (2)";323;
3202023;"Choszczno (3)";1243;
3202033;"Drawno (3)";264;
3202042;"Krzęcin (2)";207;
3202053;"Pełczyce (3)";490;
3202063;"Recz (3)";349;
3203013;"Czaplinek (3)";732;
3203023;"Drawsko Pomorskie (3)";989;
3203033;"Kalisz Pomorski (3)";472;
3203042;"Ostrowice (2)";154;
3203052;"Wierzchowo (2)";251;
3203063;"Złocieniec (3)";936;
3204023;"Goleniów (3)";2200;
3204033;"Maszewo (3)";626;
3204043;"Nowogard (3)";1447;
3204052;"Osina (2)";179;
3204062;"Przybiernów (2)";311;
3204073;"Stepnica (3)";274;
3205012;"Brojce (2)";294;
3205023;"Gryfice (3)";1496;
3205032;"Karnice (2)";232;
3205043;"Płoty (3)";550;
3205072;"Rewal (2)";200;
3205083;"Trzebiatów (3)";872;
3206012;"Banie (2)";351;
3206023;"Cedynia (3)";236;
3206033;"Chojna (3)";729;
3206043;"Gryfino (3)";1654;
3206053;"Mieszkowice (3)";403;
3206063;"Moryń (3)";236;
3206072;"Stare Czarnowo (2)";224;
3206083;"Trzcińsko-Zdrój (3)";271;
3206092;"Widuchowa (2)";290;
3207013;"Dziwnów (3)";177;
3207023;"Golczewo (3)";346;
3207033;"Kamień Pomorski (3)";709;
3207043;"Międzyzdroje (3)";265;
3207052;"Świerzno (2)";291;
3207063;"Wolin (3)";727;
3208011;"Kołobrzeg (1)";2030;
3208022;"Dygowo (2)";337;
3208033;"Gościno (3)";373;
3208042;"Kołobrzeg (2)";671;
3208052;"Rymań (2)";231;
3208062;"Siemyśl (2)";257;
3208072;"Ustronie Morskie (2)";211;
3209012;"Będzino (2)";522;
3209022;"Biesiekierz (2)";438;
3209033;"Bobolice (3)";513;
3209042;"Manowo (2)";449;
3209053;"Mielno (3)";256;
3209063;"Polanów (3)";543;
3209073;"Sianów (3)";843;
3209082;"Świeszyno (2)";449;
3210013;"Barlinek (3)";1150;
3210022;"Boleszkowice (2)";173;
3210033;"Dębno (3)";1223;
3210043;"Myślibórz (3)";1071;
3210052;"Nowogródek Pomorski (2)";264;
3211012;"Dobra (Szczecińska) (2)";1661;
3211022;"Kołbaskowo (2)";814;
3211033;"Nowe Warpno (3)";54;
3211043;"Police (3)";2116;
3212012;"Bielice (2)";183;
3212022;"Kozielice (2)";163;
3212033;"Lipiany (3)";321;
3212042;"Przelewice (2)";333;
3212053;"Pyrzyce (3)";1031;
3212062;"Warnice (2)";259;
3213011;"Darłowo (1)";684;
3213021;"Sławno (1)";733;
3213032;"Darłowo (2)";489;
3213042;"Malechowo (2)";382;
3213052;"Postomino (2)";467;
3213062;"Sławno (2)";598;
3214011;"Stargard (1)";3576;
3214023;"Chociwel (3)";347;
3214033;"Dobrzany (3)";251;
3214042;"Dolice (2)";478;
3214053;"Ińsko (3)";174;
3214062;"Kobylanka (2)";341;
3214082;"Marianowo (2)";234;
3214092;"Stara Dąbrowa (2)";274;
3214102;"Stargard (2)";892;
3214113;"Suchań (3)";240;
3215011;"Szczecinek (1)";2034;
3215023;"Barwice (3)";544;
3215033;"Biały Bór (3)";366;
3215043;"Borne Sulinowo (3)";521;
3215052;"Grzmiąca (2)";275;
3215062;"Szczecinek (2)";597;
3216011;"Świdwin (1)";949;
3216022;"Brzeżno (2)";182;
3216033;"Połczyn-Zdrój (3)";819;
3216042;"Rąbino (2)";215;
3216052;"Sławoborze (2)";258;
3216062;"Świdwin (2)";373;
3217011;"Wałcz (1)";1340;
3217023;"Człopa (3)";341;
3217033;"Mirosławiec (3)";366;
3217043;"Tuczno (3)";301;
3217052;"Wałcz (2)";843;
3218013;"Dobra (3)";227;
3218023;"Łobez (3)";812;
3218032;"Radowo Małe (2)";194;
3218043;"Resko (3)";450;
3218053;"Węgorzyno (3)";401;
3261011;"Koszalin (1)";5437;
3262011;"Szczecin (1)";19502;
3263011;"Świnoujście (1)";1422;
