"Kod";"Nazwa";"ogółem w km2;2019;[km2]";
3026012;"Brodnica (2)";96;
3026023;"Dolsk (3)";124;
3026033;"Książ Wielkopolski (3)";148;
3026043;"Śrem (3)";206;
3027011;"Turek (1)";16;
3027022;"Brudzew (2)";112;
3027033;"Dobra (3)";132;
3027042;"Kawęczyn (2)";101;
3027052;"Malanów (2)";107;
3027062;"Przykona (2)";111;
3027073;"Tuliszków (3)";150;
3027082;"Turek (2)";109;
3027092;"Władysławów (2)";91;
3028011;"Wągrowiec (1)";18;
3028022;"Damasławek (2)";105;
3028033;"Gołańcz (3)";192;
3028042;"Mieścisko (2)";135;
3028053;"Skoki (3)";198;
3028062;"Wapno (2)";44;
3028072;"Wągrowiec (2)";348;
3029012;"Przemęt (2)";225;
3029022;"Siedlec (2)";205;
3029033;"Wolsztyn (3)";250;
3030012;"Kołaczkowo (2)";116;
3030023;"Miłosław (3)";132;
3030033;"Nekla (3)";96;
3030043;"Pyzdry (3)";138;
3030053;"Września (3)";222;
3031011;"Złotów (1)";12;
3031023;"Jastrowie (3)";353;
3031033;"Krajenka (3)";191;
3031042;"Lipka (2)";191;
3031053;"Okonek (3)";326;
3031062;"Tarnówka (2)";132;
3031072;"Zakrzewo (2)";162;
3031082;"Złotów (2)";293;
3061011;"Kalisz (1)";69;
3062011;"Konin (1)";82;
3063011;"Leszno (1)";32;
3064011;"Poznań (1)";262;
3201011;"Białogard (1)";26;
3201022;"Białogard (2)";328;
3201033;"Karlino (3)";141;
3201043;"Tychowo (3)";350;
3202012;"Bierzwnik (2)";240;
3202023;"Choszczno (3)";246;
3202033;"Drawno (3)";321;
3202042;"Krzęcin (2)";140;
3202053;"Pełczyce (3)";201;
3202063;"Recz (3)";180;
3203013;"Czaplinek (3)";365;
3203023;"Drawsko Pomorskie (3)";409;
3203033;"Kalisz Pomorski (3)";481;
3203052;"Wierzchowo (2)";229;
3203063;"Złocieniec (3)";280;
3204023;"Goleniów (3)";443;
3204033;"Maszewo (3)";210;
3204043;"Nowogard (3)";339;
3204052;"Osina (2)";102;
3204062;"Przybiernów (2)";229;
3204073;"Stepnica (3)";293;
3205012;"Brojce (2)";118;
3205023;"Gryfice (3)";261;
3205032;"Karnice (2)";133;
3205043;"Płoty (3)";239;
3205072;"Rewal (2)";43;
3205083;"Trzebiatów (3)";227;
3206012;"Banie (2)";206;
3206023;"Cedynia (3)";181;
3206033;"Chojna (3)";332;
3206043;"Gryfino (3)";254;
3206053;"Mieszkowice (3)";239;
3206063;"Moryń (3)";125;
3206072;"Stare Czarnowo (2)";153;
3206083;"Trzcińsko-Zdrój (3)";170;
3206092;"Widuchowa (2)";210;
3207013;"Dziwnów (3)";40;
3207023;"Golczewo (3)";175;
3207033;"Kamień Pomorski (3)";209;
3207043;"Międzyzdroje (3)";116;
3207052;"Świerzno (2)";140;
3207063;"Wolin (3)";327;
3208011;"Kołobrzeg (1)";26;
3208022;"Dygowo (2)";129;
3208033;"Gościno (3)";116;
3208042;"Kołobrzeg (2)";144;
3208052;"Rymań (2)";146;
3208062;"Siemyśl (2)";107;
3208072;"Ustronie Morskie (2)";57;
3209012;"Będzino (2)";166;
3209022;"Biesiekierz (2)";116;
3209033;"Bobolice (3)";368;
3209042;"Manowo (2)";188;
3209053;"Mielno (3)";62;
3209063;"Polanów (3)";393;
3209073;"Sianów (3)";227;
3209082;"Świeszyno (2)";133;
3210013;"Barlinek (3)";259;
3210022;"Boleszkowice (2)";130;
3210033;"Dębno (3)";318;
3210043;"Myślibórz (3)";329;
3210052;"Nowogródek Pomorski (2)";146;
3211012;"Dobra (Szczecińska) (2)";110;
3211022;"Kołbaskowo (2)";105;
3211033;"Nowe Warpno (3)";198;
3211043;"Police (3)";252;
3212012;"Bielice (2)";84;
3212022;"Kozielice (2)";95;
3212033;"Lipiany (3)";95;
3212042;"Przelewice (2)";162;
3212053;"Pyrzyce (3)";204;
3212062;"Warnice (2)";86;
3213011;"Darłowo (1)";20;
3213021;"Sławno (1)";16;
3213032;"Darłowo (2)";269;
3213042;"Malechowo (2)";227;
3213052;"Postomino (2)";227;
3213062;"Sławno (2)";284;
3214011;"Stargard (1)";48;
3214023;"Chociwel (3)";161;
3214033;"Dobrzany (3)";135;
3214042;"Dolice (2)";237;
3214053;"Ińsko (3)";151;
3214062;"Kobylanka (2)";122;
3214082;"Marianowo (2)";102;
3214092;"Stara Dąbrowa (2)";113;
3214102;"Stargard (2)";318;
3214113;"Suchań (3)";133;
3215011;"Szczecinek (1)";48;
3215023;"Barwice (3)";259;
3215033;"Biały Bór (3)";270;
3215043;"Borne Sulinowo (3)";484;
3215052;"Grzmiąca (2)";205;
3215062;"Szczecinek (2)";500;
3216011;"Świdwin (1)";22;
3216022;"Brzeżno (2)";111;
3216033;"Połczyn-Zdrój (3)";344;
3216042;"Rąbino (2)";180;
3216052;"Sławoborze (2)";189;
3216062;"Świdwin (2)";247;
3217011;"Wałcz (1)";38;
3217023;"Człopa (3)";349;
3217033;"Mirosławiec (3)";203;
3217043;"Tuczno (3)";250;
3217052;"Wałcz (2)";575;
3218013;"Dobra (3)";116;
3218023;"Łobez (3)";227;
3218032;"Radowo Małe (2)";181;
3218043;"Resko (3)";285;
3218053;"Węgorzyno (3)";256;
3261011;"Koszalin (1)";98;
3262011;"Szczecin (1)";301;
3263011;"Świnoujście (1)";202;
